Model,Year,Miles,Location,Prices,Link,Scraped_On
 Saturn aura XE Sedan 4D,2007,300 miles,"Cincinnati, OH","$2,500",https://www.facebook.com//marketplace/item/1007496874337439/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Chrysler 200 Limited Sedan 4D,2011,96K miles,"Cincinnati, OH","$3,980",https://www.facebook.com//marketplace/item/436729992353717/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Chevrolet malibu LS Sedan 4D,2011,2.2K miles,"Cincinnati, OH","$3,000",https://www.facebook.com//marketplace/item/350110938099673/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford focus SE Sedan 4D,2010,79K miles,"Cincinnati, OH","$4,700",https://www.facebook.com//marketplace/item/1382292692444502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford taurus sel,2015,127K miles,"Cincinnati, OH","$7,100",https://www.facebook.com//marketplace/item/7767975643226665/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Ford focus SEL Sedan 4D,2012,162K miles,"Fairfield, OH","$3,800",https://www.facebook.com//marketplace/item/1021598712896730/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen beetle 2.0,2005,113K miles,"Hamilton, OH","$3,000",https://www.facebook.com//marketplace/item/1494440318134669/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai sonata SE Sedan 4D,2015,110K miles,"Monroe, OH","$6,800",https://www.facebook.com//marketplace/item/958537026012041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2016,65K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/477719381299170/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota corolla LE Sedan 4D,2020,89K miles,"Middletown, OH","$12,000",https://www.facebook.com//marketplace/item/2234423333560381/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai sonata GLS Sedan 4D,2011,90K miles,"Dayton, OH","$4,800",https://www.facebook.com//marketplace/item/799298022311731/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia optima SX Sedan 4D,2012,147K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/1824846184666912/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia forte LX Sedan 4D,2013,108K miles,"Dayton, OH","$3,800",https://www.facebook.com//marketplace/item/633012365620741/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai Sonata,2017,126K miles,"Xenia, OH","$4,200",https://www.facebook.com//marketplace/item/397100783324689/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra GLS Sedan 4D,2008,101K miles,"Cincinnati, OH","$5,500",https://www.facebook.com//marketplace/item/444700435146987/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Mazda mazda3 i Sport Hatchback 4D,2016,99K miles,"West Chester, OH","$7,500",https://www.facebook.com//marketplace/item/821956519614970/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra,2010,183K miles,"Cincinnati, OH",$1,https://www.facebook.com//marketplace/item/485400880642782/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra Limited Sedan 4D,2014,152K miles,"Goshen, OH","$1,600",https://www.facebook.com//marketplace/item/445635268298746/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
