Model,Year,Miles,Location,Prices,Link,Scraped_On
 BMW 3 series 328i Coupe 2D,2009,96K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1122003765563427/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen tiguan 2.0T SE 4Motion Sport Utility 4D,2012,93K miles,"Mason, OH","$8,000",https://www.facebook.com//marketplace/item/866161322055523/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen jetta SEL Sedan 4D,2011,204K miles,"Cincinnati, OH","$3,799",https://www.facebook.com//marketplace/item/1190467358766462/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota prius c Two Hatchback 4D,2012,177K miles · Dealership,"Monroe, OH","$4,999",https://www.facebook.com//marketplace/item/458056110189372/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mercedes-Benz GLC 300 4MATIC Sport Utility 4D,2016,104K miles,"Mason, OH","$15,500",https://www.facebook.com//marketplace/item/7816119311834304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 S Sedan 4D,2016,140K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1151747569385822/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota yaris Hatchback 4D,2010,131K miles,"Oxford, OH","$4,250",https://www.facebook.com//marketplace/item/1467945560750017/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda civic Sport Sedan 4D,2022,24K miles,"Mason, OH","$16,300",https://www.facebook.com//marketplace/item/1952906675140539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Chrysler 200 Touring Sedan 4D,2013,112K miles,"Mason, OH","$3,999",https://www.facebook.com//marketplace/item/3259807954163150/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Audi a4 (2005.5) 3.2 Sedan 4D,2005,79K miles,"Hamilton, OH","$4,400",https://www.facebook.com//marketplace/item/1601884423988231/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mercedes-Benz c-class C 55 AMG Sport Sedan 4D,2006,107K miles,"Lebanon, OH","$10,000",https://www.facebook.com//marketplace/item/1296888428140421/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Ford focus SEL Sedan 4D,2018,162K miles,"Fairfield, OH","$4,900",https://www.facebook.com//marketplace/item/3627165487533888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Chevrolet malibu Eco Sedan 4D,2013,145K miles,"West Chester, OH","$5,000",https://www.facebook.com//marketplace/item/1112649213851109/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Ford fusion SE Sedan 4D,2012,105K miles,"Hamilton, OH","$5,500",https://www.facebook.com//marketplace/item/1164006951503001/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Ford focus SE Sedan 4D,2013,72K miles,"Fairfield, OH","$4,850",https://www.facebook.com//marketplace/item/1298916234846623/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Ford fusion SE Hybrid Sedan 4D,2017,120K miles,"Cincinnati, OH","$8,900",https://www.facebook.com//marketplace/item/275894972252893/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry SE Sedan 4D,2008,209K miles,"Franklin, OH","$2,700",https://www.facebook.com//marketplace/item/1677107559529517/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2009,200K miles,"Cincinnati, OH","$4,250",https://www.facebook.com//marketplace/item/1507154773568761/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
