Model,Year,Miles,Location,Prices,Link,Scraped_On
 Honda accord EX-L Sedan 4D,2012,151K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/1013963610303343/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Kia rio LX Sedan 4D,2013,138K miles,"Cincinnati, OH","$3,395",https://www.facebook.com//marketplace/item/1020777416240122/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota prius Touring Hatchback 4D,2008,180K miles,"Mason, OH","$5,800",https://www.facebook.com//marketplace/item/1520766711904364/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Ford focus SE Sedan 4D,2010,79K miles,"Cincinnati, OH","$4,700",https://www.facebook.com//marketplace/item/1382292692444502/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic LX Sedan 4D,2015,80K miles,"Mason, OH","$12,000",https://www.facebook.com//marketplace/item/442286712099902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota prius,2013,104K miles,"Cincinnati, OH","$12,900",https://www.facebook.com//marketplace/item/1237244710967429/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota matrix XR Sport Wagon 4D,2005,28K miles,"Cincinnati, OH","$2,500",https://www.facebook.com//marketplace/item/444897355111189/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord Sport Sedan 4D,2016,123K miles,"Cincinnati, OH","$9,500",https://www.facebook.com//marketplace/item/357013964070113/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic EX-L Sedan 4D,2008,222K miles,"Cincinnati, OH","$3,800",https://www.facebook.com//marketplace/item/1406036406775715/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla Sedan 4D,2011,189K miles,"Cincinnati, OH","$5,400",https://www.facebook.com//marketplace/item/435479316063848/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
