Model,Year,Miles,Location,Prices,Link,Scraped_On
 Mazda rx-8 Sport,2004,81K miles,"Lafayette, IN","$5,235",https://www.facebook.com//marketplace/item/1843553282737848/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford flex SEL Sport Utility 4D,2009,195K miles,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/765046978873219/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Toyota highlander sport 2wd 2.4 great mpg!,2004,155K miles,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/468982632414331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford bronco,1989,99K miles,"Lafayette, IN","$5,500",https://www.facebook.com//marketplace/item/628277099418220/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Mitsubishi galant ES Sedan 4D,2002,117K miles,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/1492493654808577/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 BMW 5 series 535i xDrive Sedan 4D,2012,92K miles,"Lafayette, IN","$8,949",https://www.facebook.com//marketplace/item/3104103229725204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Ford escape Limited Sport Utility 4D,2011,161K miles,"West Lafayette, IN","$4,800",https://www.facebook.com//marketplace/item/1004668274671768/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Lexus ES 330 Sedan 4D,2005,189K miles,"West Lafayette, IN","$3,800",https://www.facebook.com//marketplace/item/1028920185492854/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,2011,151K miles,"Lebanon, IN","$5,500",https://www.facebook.com//marketplace/item/338523275967070/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5i Limited Sedan 4D,2015,129K miles,"Lafayette, IN","$7,900",https://www.facebook.com//marketplace/item/747831133913810/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10
