Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai santa fe LX Sport Utility 4D,2005,148K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/514032534525910/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Nissan maxima SV Sedan 4D,2012,166K miles,"Cincinnati, OH","$4,450",https://www.facebook.com//marketplace/item/444144935087902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Audi a8 l,2015,,"Cincinnati, OH","$21,995",https://www.facebook.com//marketplace/item/468562405791352/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chevrolet cruze LT Sedan 4D,2014,102K miles · Dealership,"Cincinnati, OH","$4,900",https://www.facebook.com//marketplace/item/1524838261781090/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Chevrolet camaro LT Coupe 2D,2012,108K miles,"Cincinnati, OH","$7,200",https://www.facebook.com//marketplace/item/427355033049294/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Volkswagen passat V6 SEL Premium Sedan 4D,2012,188K miles,"Cincinnati, OH","$2,000",https://www.facebook.com//marketplace/item/3689074831359132/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Dodge charger,2014,149K miles,"Cincinnati, OH","$8,995",https://www.facebook.com//marketplace/item/1633084070814082/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2015,80K miles,"Cincinnati, OH","$7,000",https://www.facebook.com//marketplace/item/775375258088721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai accent SEL Sedan 4D,2019,57K miles,"Nicholasville, KY","$7,995",https://www.facebook.com//marketplace/item/803373531936446/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2016,136K miles,"West Chester, OH","$5,999",https://www.facebook.com//marketplace/item/1387541938609120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai sonata SE Sedan 4D,2016,110K miles,"Dayton, OH","$7,499",https://www.facebook.com//marketplace/item/1039701594129090/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2016,136K miles,"Cincinnati, OH","$6,199",https://www.facebook.com//marketplace/item/1103584887991393/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda civic LX Sedan 4D,2015,80K miles,"Mason, OH","$12,000",https://www.facebook.com//marketplace/item/442286712099902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Toyota camry L Sedan 4D,2014,62K miles,"Dayton, OH","$8,015",https://www.facebook.com//marketplace/item/1708774002989116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
