Model,Location,Miles,Prices,Link,Year,Scraped_On
 Mitsubishi mirage DE Hatchback 4D,"Noblesville, IN",82K miles,"$4,995",/marketplace/item/1121584032253352/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Subaru impreza 2.0i Sport Premium Wagon 4D,"Indianapolis, IN",129K miles,"$7,700",/marketplace/item/1669996913755195/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Subaru outback 2.5i Premium Wagon 4D,"Lafayette, IN",96K miles · Dealership,"$7,995",/marketplace/item/462151826151515/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Subaru impreza 2.0i Sport Wagon 4D,"Lafayette, IN",40K miles,"$19,000",/marketplace/item/440418261697311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet cruze LT Sedan 4D,"Indianapolis, IN",98K miles,"$3,500",/marketplace/item/488521483711897/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Kia soul Wagon 4D,"Monticello, IN",78K miles,"$8,800",/marketplace/item/966688674445254/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet trax LT Sport Utility 4D,"Lafayette, IN",59K miles · Dealership,"$8,900",/marketplace/item/3324001834571902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Ford fusion SEL Sedan 4D,"Lafayette, IN",75K miles,$449,/marketplace/item/385279023942680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 GMC terrain SLE Sport Utility 4D,"Lafayette, IN",115K miles,"$7,000",/marketplace/item/2417983945064561/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Honda accord clean title,"Wakarusa, IN",128K miles,"$8,900",/marketplace/item/397867752685424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
