Model,Location,Miles,Prices,Link,Year,Scraped_On
 Nissan altima 2.5 S Sedan 4D,"Indianapolis, IN",160K miles,$500,/marketplace/item/732697412219452/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Subaru forester XS Sport Utility 4D,"Lafayette, IN",144K miles,"$3,500",/marketplace/item/1069484237472400/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Volkswagen jetta GL TDI Sedan 4D,"Lafayette, IN",383K miles,"$1,500",/marketplace/item/984262826415252/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 NUÑEZ AUTO SALES pocas millas* financiamiento disponible con tu itin!,"Lafayette, IN",,$1,/marketplace/item/574871544443593/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Honda urban express scooter,"Rensselaer, IN",4K miles,$600,/marketplace/item/420023207704565/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1983,2024-07-02
 Honda s2000 Convertible 2D,"Lafayette, IN",75K miles,"$12,000",/marketplace/item/330347183083843/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Dodge durango Sport Utility 4D,"Lafayette, IN",138K miles,"$4,175",/marketplace/item/3759567604300777/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Dodge journey $1000 down,"Kokomo, IN",89K miles,"$1,000",/marketplace/item/1043143523459210/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Audi a3 2d Cabriolet Premium,"Lafayette, IN",44K miles,$1,/marketplace/item/388523566987975/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Buick encore,"Lafayette, IN",41K miles,"$23,500",/marketplace/item/1567893443964595/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford f150 super cab XLT Pickup 4D 6 1/2 ft,"Brookston, IN",160K miles,"$5,900",/marketplace/item/1004628854508832/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Kia soul,"Brook, IN",87K miles,"$8,995",/marketplace/item/1009692227405179/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Aston Martin 2 + 2 convertible,"Lafayette, IN",27K miles,"$62,500",/marketplace/item/793289448978189/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1967,2024-07-02
 Lexus LS 430 Sedan 4D,"Lafayette, IN",219K miles,"$6,500",/marketplace/item/3787601328165707/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Hyundai sonata SEL,"Indianapolis, IN",90K miles,"$14,895",/marketplace/item/1009761554112156/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Honda civic LX Sedan 4D,"Lafayette, IN",95K miles,"$9,000",/marketplace/item/935635875002032/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Hyundai sonata GLS Sedan 4D,"Indianapolis, IN",140K miles,"$6,869",/marketplace/item/320469441131450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Chevrolet malibu,"Indianapolis, IN",104K miles,"$12,500",/marketplace/item/3738820626373850/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Jeep compass Trailhawk Sport Utility 4D,"Lafayette, IN",71K miles,$549,/marketplace/item/2137283896638692/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford fusion,"Indianapolis, IN",19K miles · Dealership,"$19,900",/marketplace/item/773503758071151/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Kia niro ev Wind Wagon 4D,"Kokomo, IN",1.6K miles,$239,/marketplace/item/1891941581234567/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2023,2024-07-02
 Chrysler,"Winamac, IN",101K miles,"$9,999",/marketplace/item/1405490746987207/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan altima SR,"Indianapolis, IN",300 miles,"$33,115",/marketplace/item/502115992478756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Nissan versa SV Sedan 4D,"Indianapolis, IN",60K miles,"$23,343",/marketplace/item/812565220975685/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Tesla model x 100D Sport Utility 4D,"Indianapolis, IN",43K miles,"$37,000",/marketplace/item/842040540636383/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Toyota 4runner,"Sullivan, IN",170K miles · Dealership,"$9,995",/marketplace/item/489949826910406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Nissan versa,"Indianapolis, IN",154K miles,"$3,200",/marketplace/item/492324599839195/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Volvo v70 3.2 Wagon 4D,"Lebanon, IN",111K miles,"$6,030",/marketplace/item/989359072499083/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Hyundai sonata GLS Sedan 4D,"West Lafayette, IN",150K miles,"$1,500",/marketplace/item/1513528646250234/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Chevrolet malibu lt,"Indianapolis, IN",129K miles,"$7,000",/marketplace/item/343762085423162/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
" TOP USED CARS, SUVS & TRUCKS *bad credit no problem✓","Portage, IN",,"$1,000",/marketplace/item/358236123635156/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 BMW 5 series 530xi Wagon 4D,"Linden, IN",160K miles,"$5,500",/marketplace/item/1102398897490788/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
" Bus & Car silver eagle, model 5","West Lafayette, IN",,"$17,000",/marketplace/item/1784712775341559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1968,2024-07-02
 Mazda rx-8 Coupe 4D,"Crawfordsville, IN",126K miles,"$6,000",/marketplace/item/783894327041370/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Subaru outback 3.6R Limited Wagon 4D,"Joliet, IL",197K miles,"$4,900",/marketplace/item/418373344535704/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Jeep grand cherokee,"Indianapolis, IN",136K miles,"$11,900",/marketplace/item/457024086848684/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Ford fusion hybrid,"Lebanon, IN",90K miles,"$14,997",/marketplace/item/1574612286451071/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Pontiac g8 Sedan 4D,"Delphi, IN",210K miles,"$6,500",/marketplace/item/7579510315430749/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Audi a4 2.0T Premium Sedan 4D,"Lafayette, IN",100K miles,"$1,000",/marketplace/item/796357148720290/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Pontiac vibe Sport Wagon 4D,"Indianapolis, IN",127K miles,"$6,500",/marketplace/item/1003967881128547/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge avenger SXT Sedan 4D,"Monticello, IN",129K miles,"$2,750",/marketplace/item/1340486999983432/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Kia sorento,"Lafayette, IN",109K miles,"$19,995",/marketplace/item/175920502281186/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Indianapolis, IN",137K miles,"$2,500",/marketplace/item/783167937305058/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 GMC envoy xl SLE Sport Utility 4D,"West Lafayette, IN",170K miles,"$2,800",/marketplace/item/1038377084285855/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 BMW 3 series,"Noblesville, IN",126K miles,"$7,950",/marketplace/item/2424239751115616/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Dodge dakota sport,"West Lafayette, IN",161K miles,"$2,400",/marketplace/item/1099125581182476/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1993,2024-07-02
 Genesis g80,"Winamac, IN",30K miles,"$30,300",/marketplace/item/772560164854752/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Buick century Sedan 4D,"Lafayette, IN",150K miles,"$1,100",/marketplace/item/419630930993094/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2003,2024-07-02
 Volkswagen jetta GLS Turbo Sedan 4D,"Monticello, IN",150K miles,"$1,234",/marketplace/item/515012210849786/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
 Chevrolet trax,"Lafayette, IN",101K miles,"$10,700",/marketplace/item/421915024082783/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Dodge dakota quad cab Pickup,"Lafayette, IN",176K miles,"$4,200",/marketplace/item/8559970920684450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Chevrolet silverado 2500,"New Castle, IN",50K miles,"$5,000",/marketplace/item/876043167914992/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1986,2024-07-02
 Lincoln MKZ,"Lafayette, IN",,"$29,499",/marketplace/item/691597232874218/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chevrolet elcamino,"Indianapolis, IN",999K miles,"$60,000",/marketplace/item/1001149135071258/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1959,2024-07-02
 Ford focus S Sedan 4D,"Indianapolis, IN",149K miles,"$2,500",/marketplace/item/696124015985242/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Honda civic,"Indianapolis, IN",144K miles,"$7,500",/marketplace/item/897366938827699/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Lafayette, IN",170K miles,"$2,400",/marketplace/item/997464131727356/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Chevrolet malibu LS Sedan 4D,"Hobart, IN",107K miles,"$3,000",/marketplace/item/1298328980959890/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Chrysler aspen Limited Sport Utility 4D,"Lafayette, IN",153K miles,"$6,000",/marketplace/item/1168709011114592/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Mercury mariner Premier Sport Utility 4D,"Monticello, IN",170K miles,"$1,500",/marketplace/item/429382763406568/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet equinox L Sport Utility 4D,"Indianapolis, IN",72K miles,"$17,995",/marketplace/item/934394471669539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Dodge journey $500 down,"Indianapolis, IN",,$500,/marketplace/item/2374047282787429/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet equinox,"Lafayette, IN",93K miles,"$20,500",/marketplace/item/2050554901979625/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chevrolet blazer,"Lafayette, IN",57K miles,"$28,799",/marketplace/item/1142879490465275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chevrolet equinox lt fwd,"Daleville, IN",50K miles,$328,/marketplace/item/1004286664605529/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chrysler 200 😎your approved -ids or permits and drivers license 👀,"Indianapolis, IN",125K miles,"$1,000",/marketplace/item/692350723113130/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Volkswagen jetta,"Brook, IN",101K miles,"$11,995",/marketplace/item/300170319825463/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Buick Encore,"Lafayette, IN",61K miles,"$10,300",/marketplace/item/2146143865758644/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda accord LX Sedan 4D,"Indianapolis, IN",176K miles,"$6,700",/marketplace/item/458000816860745/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Hyundai elantra,"Indianapolis, IN",2.3K miles,"$22,100",/marketplace/item/766501029021494/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024,2024-07-02
 Kia forte,"Lafayette, IN",57K miles,"$18,995",/marketplace/item/1850694165381529/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Indianapolis, IN",60K miles,"$13,000",/marketplace/item/1459715164455981/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet trax LT Sport Utility 4D,"West Lafayette, IN",59K miles,$415,/marketplace/item/1038717607586035/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Buick lacrosse Sedan 4D,"West Lafayette, IN",152K miles,"$6,900",/marketplace/item/1018319059912059/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Nissan altima,"Indianapolis, IN",43K miles,"$16,987",/marketplace/item/832187448402396/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Lafayette, IN",14K miles · Dealership,"$22,900",/marketplace/item/7862209680464966/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Dodge charger,"West Lafayette, IN",73K miles,"$18,900",/marketplace/item/1107462376983601/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Buick lucerne CXL Sedan 4D,"Lafayette, IN",77K miles,"$5,000",/marketplace/item/702474595059983/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Nissan altima,"Indianapolis, IN",12K miles,"$3,800",/marketplace/item/424857516961498/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
" TOP USED CARS, SUVS & TRUCKS *bad credit no problem✓","Highland, IN",,"$1,000",/marketplace/item/992442259098928/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Kia soul Wagon 4D,"Fishers, IN",201K miles,"$3,500",/marketplace/item/3761719707443766/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Dodge caliber Mainstreet Sport Wagon 4D,"Indianapolis, IN",97K miles,"$3,500",/marketplace/item/1603099233865235/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Honda accord EX Sedan 4D,"Lafayette, IN",173K miles · Dealership,"$3,300",/marketplace/item/473671851770551/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Ford escort SE Wagon 4D,"Crown Point, IN",39K miles,"$6,800",/marketplace/item/1034805238269333/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1987,2024-07-02
 Chevrolet malibu ls fleet,"Indianapolis, IN",64K miles · Dealership,"$17,900",/marketplace/item/1523846985178255/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Freightliner cascadia evolution 5 car Sun country trailer,"Frankfort, IN",999 miles,"$55,000",/marketplace/item/281595101292041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Jeep cherokee Limited Sport Utility 4D,"Indianapolis, IN",169K miles,"$9,500",/marketplace/item/1436716893686452/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Honda accord SE Coupe 2D,"Battle Ground, IN",212K miles,"$1,200",/marketplace/item/1039183517537600/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Dodge caliber SXT Sport Wagon 4D,"Richton Park, IL",133K miles,"$3,500",/marketplace/item/8744877708861339/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Pontiac g6 GT Sedan 4D,"Indianapolis, IN",180K miles,"$2,000",/marketplace/item/272217702621526/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet malibu,"Indianapolis, IN",83K miles,"$3,100",/marketplace/item/1013682653456503/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Ford mustang V6,"Elkhart, IN",125K miles,"$4,999",/marketplace/item/7726574950770004/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1997,2024-07-02
 Chevrolet malibu ls,"Carmel, IN",61K miles,"$4,900",/marketplace/item/1795150057641113/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2000,2024-07-02
 Dodge avenger $800 down,"Kokomo, IN",86K miles,$800,/marketplace/item/404996795539887/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Toyota t100 xtracab SR5 Pickup,"Lafayette, IN",287K miles,"$3,000",/marketplace/item/1495475987731901/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1996,2024-07-02
 Ford f350 super duty crew cab Lariat Pickup 4D 8 ft,"Lafayette, IN",327K miles,"$7,300",/marketplace/item/1118017799494629/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Ford f250 regular cab,"Linden, IN",130K miles,"$5,000",/marketplace/item/827630472757145/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1995,2024-07-02
 GMC 1500 regular cab Long Bed,"Lafayette, IN",1.2K miles,"$4,500",/marketplace/item/1809641979543559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1995,2024-07-02
 Chevrolet corvair,"Selma, IN",100K miles,"$6,500",/marketplace/item/388664983868077/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1964,2024-07-02
 Ford f150 super cab Short Bed,"Monticello, IN",178K miles,$650,/marketplace/item/815037290827815/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1997,2024-07-02
 Volkswagen jetta V6 GLS Wagon 4D,"Monon, IN",28K miles,"$3,500",/marketplace/item/1318509515737484/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2002,2024-07-02
 Dodge journey SXT Sport Utility 4D,"Lake Village, IN",118K miles,"$3,800",/marketplace/item/1221498422342377/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Ford taurus SES Sedan 4D,"Chicago, IL",127K miles,"$1,900",/marketplace/item/1447652152549004/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2003,2024-07-02
 Chevrolet equinox,"Lafayette, IN",82K miles,"$22,500",/marketplace/item/360473016972331/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Chevrolet equinox premier,"Indianapolis, IN",18K miles,"$22,900",/marketplace/item/1006342361020062/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Chevrolet 2500 regular cab Long Bed,"Lafayette, IN",123K miles,"$8,500",/marketplace/item/442907545265969/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1983,2024-07-02
